Antigen,Antigen,Antigen,Antigen,Antigen
"Possible enoyl-CoA hydratase EchA9 (Enoyl hydrase) (Unsaturated acyl-CoA hydratase) (Crotonase)","Mycobacterium tuberculosis","5","5","1"
"Probable transcriptional regulatory protein (Probably TetR-family) (UniProt:O53317)","Mycobacterium tuberculosis","3","3","1"
"Malonyl CoA-acyl carrier protein transacylase","Mycobacterium tuberculosis","5","5","1"
"GDSL-like esterase Rv1075c","Mycobacterium tuberculosis","6","6","1"
"Antitoxin VapB2","Mycobacterium tuberculosis","2","2","1"
"Possible metal cation transporting P-type ATPase CtpH","Mycobacterium tuberculosis","10","10","1"
"Probable O-methyltransferase Omt","Mycobacterium tuberculosis","4","4","1"
"Probable conserved ATP-binding protein ABC transporter (UniProt:I6YF11)","Mycobacterium tuberculosis","4","4","1"
"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase","Mycobacterium tuberculosis","5","5","1"
"Magnesium transport protein CorA","Mycobacterium tuberculosis","5","5","1"
"Conserved protein (UniProt:O53874)","Mycobacterium tuberculosis","11","11","1"
"Prephenate dehydrogenase","Mycobacterium tuberculosis","6","6","1"
"Putative membrane protein","Brucella melitensis","12","24","1"
"Probable acyl-CoA dehydrogenase FadE4","Mycobacterium tuberculosis","8","8","1"
"Macro domain-containing protein","Mycobacterium tuberculosis","5","5","1"
"Putative antitoxin VapB14","Mycobacterium tuberculosis","2","2","1"
"Multicopper oxidase MmcO","Mycobacterium tuberculosis","10","10","3"
"Putative antitoxin VapB34","Mycobacterium tuberculosis","2","2","1"
"Phosphate import ATP-binding protein PstB 2","Mycobacterium tuberculosis","5","5","1"
"Non-homologous end joining protein Ku","Mycobacterium tuberculosis","4","4","1"
"RecBCD enzyme subunit RecC","Mycobacterium tuberculosis","7","7","1"
"Steroid C26-monooxygenase (UniProt:P9WPP1)","Mycobacterium tuberculosis","8","8","1"
"TRK system potassium uptake protein CeoB","Mycobacterium tuberculosis","3","3","1"
"Possible dehydrogenase (UniProt:O69693)","Mycobacterium tuberculosis","7","7","2"
"Uncharacterized protein (UniProt:O07429)","Mycobacterium tuberculosis","3","3","1"
"Uncharacterized glycosyl hydrolase Rv3401","Mycobacterium tuberculosis","10","10","1"
"pH-sensitive adenylate cyclase Rv1264","Mycobacterium tuberculosis","6","6","1"
"Uncharacterized protein (UniProt:O33260)","Mycobacterium tuberculosis","6","6","1"
"Putative oxidoreductase Rv1856c","Mycobacterium tuberculosis","3","3","1"
"Uncharacterized RNA pseudouridine synthase Rv1711","Mycobacterium tuberculosis","4","4","1"
"Putative lipoprotein LppC","Mycobacterium tuberculosis","3","3","1"
"Uncharacterized protein Rv0088","Mycobacterium tuberculosis","4","4","1"
"Probable polyketide synthase Pks8","Mycobacterium tuberculosis","11","11","2"
"Alanine racemase","Mycobacterium tuberculosis","6","6","1"
"Putative cytochrome P450 126","Mycobacterium tuberculosis","6","6","1"
"Conserved protein (UniProt:P95148)","Mycobacterium tuberculosis","7","7","1"
"Uncharacterized protein (UniProt:O05304)","Mycobacterium tuberculosis","3","3","1"
"30S ribosomal protein S2","Mycobacterium tuberculosis","4","4","1"
"Possible DNA-damage-inducible protein F DinF","Mycobacterium tuberculosis","9","9","1"
"Exodeoxyribonuclease 7 large subunit","Mycobacterium tuberculosis","7","7","1"
"3-methyl-2-oxobutanoate hydroxymethyltransferase","Mycobacterium tuberculosis","4","4","1"
"Uncharacterized protein Rv1899c","Mycobacterium tuberculosis","5","5","1"
"Possible transposase (UniProt:I6YC39)","Mycobacterium tuberculosis","6","6","1"
"Uncharacterized protein (UniProt:L7N673)","Mycobacterium tuberculosis","2","2","1"
"Probable enoyl-CoA hydratase echA17","Mycobacterium tuberculosis","4","4","1"
"Homoserine dehydrogenase","Mycobacterium tuberculosis","7","7","1"
"Probable acyl-CoA dehydrogenase FadE23","Mycobacterium tuberculosis","6","6","1"
"Gamma-glutamyl phosphate reductase","Mycobacterium tuberculosis","6","6","1"
"Uncharacterized protein Rv0942","Mycobacterium tuberculosis","2","2","1"
"Possible molybdopterin biosynthesis protein MoeW","Mycobacterium tuberculosis","5","5","1"
"Putative amidase AmiB2","Mycobacterium tuberculosis","6","6","1"
"HTH cro/C1-type domain-containing protein","Mycobacterium tuberculosis","6","6","1"
"Possible enoyl-CoA hydratase EchA4 (Enoyl hydrase) (Unsaturated acyl-CoA hydratase) (Crotonase)","Mycobacterium tuberculosis","6","6","1"
"Uncharacterized protein (UniProt:P95263)","Mycobacterium tuberculosis","2","2","1"
"Probable conserved transmembrane protein (UniProt:P71915)","Mycobacterium tuberculosis","7","7","1"
"Uncharacterized FtsW-like protein","Mycobacterium tuberculosis","9","9","1"
"O-succinylhomoserine sulfhydrylase","Mycobacterium tuberculosis","6","6","1"
"Probable enoyl-CoA hydratase EchA20 (Enoyl hydrase) (Unsaturated acyl-CoA hydratase) (Crotonase)","Mycobacterium tuberculosis","6","6","1"
"Ferredoxin (UniProt:P9WNE7)","Mycobacterium tuberculosis","2","2","1"
"Probable dolichyl-phosphate-mannose--protein mannosyltransferase","Mycobacterium tuberculosis","9","9","1"
"Glutamate-1-semialdehyde 2,1-aminomutase","Mycobacterium tuberculosis","7","7","1"
"Uncharacterized PE-PGRS family protein PE_PGRS20","Mycobacterium tuberculosis","3","3","1"
"PE-PGRS family protein PE_PGRS12","Mycobacterium tuberculosis","3","3","1"
"PE family protein PE33","Mycobacterium tuberculosis","3","3","1"
"Drug efflux pump JefA","Mycobacterium tuberculosis","8","8","1"
"Sulfate/thiosulfate import ATP-binding protein CysA","Mycobacterium tuberculosis","5","5","1"
"Probable transport protein MmpL12","Mycobacterium tuberculosis","11","11","2"
"Cobyric acid synthase","Mycobacterium tuberculosis","8","9","1"
"Uncharacterized protein (UniProt:I6WYU2)","Mycobacterium tuberculosis","6","6","1"
"Phospholipase C 1","Mycobacterium tuberculosis","9","9","1"
"FO synthase","Mycobacterium tuberculosis","10","10","1"
"Uncharacterized HIT-like protein Rv1262c","Mycobacterium tuberculosis","2","2","1"
"Probable transcriptional regulatory protein (Probably AsnC-family) (UniProt:I6XG13)","Mycobacterium tuberculosis","4","4","1"
"Biotin synthase","Mycobacterium tuberculosis","6","6","2"
"Probable cob(I)alamin adenosyltransferase CobO (Corrinoid adenosyltransferase) (Corrinoid adotransferase activity)","Mycobacterium tuberculosis","3","3","1"
"Uncharacterized protein (UniProt:I6XFC2)","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein Rv2598","Mycobacterium tuberculosis","2","2","1"
"Vitamin B12 transport ATP-binding protein BacA","Mycobacterium tuberculosis","11","11","1"
"Putative methyltransferase Rv1407","Mycobacterium tuberculosis","3","3","1"
"Uncharacterized protein Rv1526c","Mycobacterium tuberculosis","6","7","1"
"Alpha-(1->3)-arabinofuranosyltransferase (UniProt:P96419)","Mycobacterium tuberculosis","10","10","1"
"Possible long-chain-fatty-acid--CoA ligase FadD12 (Fatty-acid-CoA synthetase) (Fatty-acid-CoA synthase)","Mycobacterium tuberculosis","9","9","1"
"Uncharacterized protein (UniProt:P96233)","Mycobacterium tuberculosis","3","3","1"
"Peptidase_M23 domain-containing protein","Mycobacterium tuberculosis","5","5","1"
"Uncharacterized protein (UniProt:I6Y4V2)","Mycobacterium tuberculosis","3","3","1"
"Probable conserved transmembrane protein alanine and leucine rich","Mycobacterium tuberculosis","10","10","1"
"Adenosine kinase","Mycobacterium tuberculosis","4","4","1"
"Probable methylmalonate-semialdehyde dehydrogenase MmsA (Methylmalonic acid semialdehyde dehydrogenase) (MMSDH)","Mycobacterium tuberculosis","9","9","1"
"Phospholipase C 3","Mycobacterium tuberculosis","10","10","2"
"Serine/threonine-protein kinase PknJ","Mycobacterium tuberculosis","10","10","2"
"DUF4143 domain-containing protein","Mycobacterium tuberculosis","5","5","1"
"Uncharacterized PPE family protein PPE13","Mycobacterium tuberculosis","9","11","2"
"Inositol-1-monophosphatase SuhB","Mycobacterium tuberculosis","5","5","1"
"Putative peptidoglycan hydrolase Rv2525c","Mycobacterium tuberculosis","5","5","2"
"Conserved hypothetical alanine rich protein (UniProt:I6Y259)","Mycobacterium tuberculosis","9","17","1"
"Probable transcriptional regulatory protein (UniProt:Q11028)","Mycobacterium tuberculosis","11","11","1"
"ESX-1 secretion-associated protein EspL","Mycobacterium tuberculosis","3","3","1"
"O-phosphoserine sulfhydrylase","Mycobacterium tuberculosis","5","5","1"
"Probable transmembrane protein (UniProt:P94983)","Mycobacterium tuberculosis","4","4","1"
"Possible ligase","Mycobacterium tuberculosis","6","6","1"
"Uncharacterized PE-PGRS family protein PE_PGRS44","Mycobacterium tuberculosis","6","6","1"
"TetR_C_16 domain-containing protein","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized PPE family protein PPE69","Mycobacterium tuberculosis","6","6","1"
"LexA repressor","Mycobacterium tuberculosis","3","3","1"
"Protein RecA","Mycobacterium tuberculosis","11","11","1"
"Possible oxidoreductase FadB5","Mycobacterium tuberculosis","9","9","2"
"Probable endoribonuclease MazF5","Mycobacterium tuberculosis","2","2","1"
"Probable S-adenosylmethionine-dependent methyltransferase Rv3030","Mycobacterium tuberculosis","5","5","1"
"4-hydroxy-tetrahydrodipicolinate synthase","Mycobacterium tuberculosis","4","4","1"
"Uncharacterized protein Rv2560","Mycobacterium tuberculosis","5","5","1"
"Probable conserved transmembrane alanine rich protein","Mycobacterium tuberculosis","3","3","1"
"Cytidylate kinase","Mycobacterium tuberculosis","3","3","1"
"Phosphatidylserine decarboxylase proenzyme","Mycobacterium tuberculosis","3","3","1"
"ESX-1 secretion system protein EccE1","Mycobacterium tuberculosis","8","8","1"
"Conserved protein (UniProt:P72062)","Mycobacterium tuberculosis","6","6","1"
"Valine--tRNA ligase","Mycobacterium tuberculosis","10","10","1"
"Conserved membrane protein (UniProt:O06136)","Mycobacterium tuberculosis","7","7","1"
"Possible exported alanine and valine rich protein","Mycobacterium tuberculosis","5","5","1"
"Uncharacterized transporter Rv1999c","Mycobacterium tuberculosis","8","8","2"
"Probable aldehyde dehydrogenase AldC","Mycobacterium tuberculosis","8","8","1"
"Probable beta-glucosidase BglS (Gentiobiase) (Cellobiase) (Beta-D-glucoside glucohydrolase)","Mycobacterium tuberculosis","10","10","1"
"Homoserine O-acetyltransferase","Mycobacterium tuberculosis","6","6","1"
"Ribonuclease Z","Mycobacterium tuberculosis","4","4","1"
"Probable short-chain type dehydrogenase/reductase (UniProt:O06348)","Mycobacterium tuberculosis","5","5","1"
"SAF domain-containing protein","Mycobacterium tuberculosis","5","6","3"
"Uncharacterized protein Rv0970","Mycobacterium tuberculosis","3","3","1"
"Uncharacterized protein (UniProt:O53413)","Mycobacterium tuberculosis","2","2","1"
"Possible conserved alanine rich membrane protein","Mycobacterium tuberculosis","3","3","1"
"Uncharacterized protein Rv2082","Mycobacterium tuberculosis","13","13","1"
"Probable transcriptional regulatory protein (Probably GntR-family) (UniProt:P95098)","Mycobacterium tuberculosis","7","7","1"
"Malate dehydrogenase","Mycobacterium tuberculosis","5","5","1"
"Putative glyoxylase CFP32","Mycobacterium tuberculosis","4","4","1"
"Uncharacterized protein (UniProt:P71654)","Mycobacterium tuberculosis","10","10","1"
"Uncharacterized protein Rv2079","Mycobacterium tuberculosis","13","13","1"
"Multidrug efflux ATP-binding/permease protein Rv0194","Mycobacterium tuberculosis","12","12","1"
"Phosphoserine phosphatase SerB1","Mycobacterium tuberculosis","6","6","1"
"Acyl-CoA dehydrogenase fadE12","Mycobacterium tuberculosis","6","6","1"
"Probable transcriptional regulatory protein (UniProt:O53921)","Mycobacterium tuberculosis","4","4","1"
"Probable integral membrane protein (UniProt:I6XHC3)","Mycobacterium tuberculosis","3","3","1"
"Uncharacterized protein Rv1583c","Mycobacterium tuberculosis","2","2","1"
"DUF2786 domain-containing protein","Mycobacterium tuberculosis","4","4","1"
"Putative amidase AmiD","Mycobacterium tuberculosis","7","7","1"
"Bifunctional purine biosynthesis protein PurH","Mycobacterium tuberculosis","8","8","1"
"Helicase ATP-binding domain-containing protein","Mycobacterium tuberculosis","11","11","2"
"Pribosyltran domain-containing protein","Mycobacterium tuberculosis","6","6","2"
"Probable UDP-glucose 4-epimerase GalE3 (Galactowaldenase) (UDP-galactose 4-epimerase) (Uridine diphosphate galactose 4-epimerase) (Uridine diphospho-galactose 4-epimerase)","Mycobacterium tuberculosis","5","5","1"
"Uncharacterized protein (UniProt:O05887)","Mycobacterium tuberculosis","3","3","1"
"Carboxypeptidase Rv3627c","Mycobacterium tuberculosis","9","9","1"
"Cysteine--tRNA ligase","Mycobacterium tuberculosis","7","7","1"
"ESX-2 secretion system ATPase EccB2","Mycobacterium tuberculosis","7","7","1"
"Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme","Mycobacterium tuberculosis","10","10","1"
"Uncharacterized glycosyltransferase Rv0539","Mycobacterium tuberculosis","3","3","1"
"Putative glycosyltransferases","Mycobacterium tuberculosis","6","6","1"
"Hypothetical alanine rich protein (UniProt:P95012)","Mycobacterium tuberculosis","4","4","1"
"Elongation factor Ts","Mycobacterium tuberculosis","4","4","1"
"PseudoU_synth_2 domain-containing protein","Mycobacterium tuberculosis","7","8","2"
"Uncharacterized protein (UniProt:I6X5G8)","Mycobacterium tuberculosis","4","6","1"
"Possible arylsulfatase AtsA (Aryl-sulfate sulphohydrolase) (Arylsulphatase)","Mycobacterium tuberculosis","11","11","1"
"30S ribosomal protein S11","Mycobacterium tuberculosis","2","2","1"
"HTH-type transcriptional regulator CmtR","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein Rv0738","Mycobacterium tuberculosis","3","3","1"
"Uncharacterized MFS-type transporter Rv0037c","Mycobacterium tuberculosis","8","8","1"
"Uncharacterized protein (UniProt:I6YGU1)","Mycobacterium tuberculosis","3","3","1"
"S-nitrosomycothiol reductase MscR","Mycobacterium tuberculosis","5","5","1"
"PPE family protein PPE31 (Fragment)","Mycobacterium tuberculosis","13","14","2"
"Haloalkane dehalogenase 3","Mycobacterium tuberculosis","4","4","1"
"Mycosin-4","Mycobacterium tuberculosis","8","9","3"
"50S ribosomal protein L1","Mycobacterium tuberculosis","7","7","2"
"Thymidine phosphorylase","Mycobacterium tuberculosis","7","7","1"
"Conserved protein (UniProt:I6Y0X6)","Mycobacterium tuberculosis","8","8","1"
"Conserved protein (UniProt:O07741)","Mycobacterium tuberculosis","2","2","1"
"Phenylalanine--tRNA ligase beta subunit","Mycobacterium tuberculosis","11","11","1"
"Probable fatty-acid-CoA ligase FadD9 (Fatty-acid-CoA synthetase) (Fatty-acid-CoA synthase)","Mycobacterium tuberculosis","11","11","2"
"Decaprenyl-phosphate N-acetylglucosaminephosphotransferase","Mycobacterium tuberculosis","7","7","1"
"Uncharacterized protein Rv1702cMb1728c","Mycobacterium tuberculosis","7","7","1"
"Putative serine esterase Rv1835c","Mycobacterium tuberculosis","9","9","1"
"Uncharacterized protein (UniProt:O86351)","Mycobacterium tuberculosis","5","5","1"
"Uncharacterized protein Rv3067","Mycobacterium tuberculosis","2","2","1"
"Possible transcriptional regulatory protein (UniProt:O33179)","Mycobacterium tuberculosis","3","3","1"
"Adenosine deaminase","Mycobacterium tuberculosis","5","5","1"
"Hypothetical alanine arginine proline rich protein","Mycobacterium tuberculosis","4","4","1"
"Uncharacterized protein (UniProt:P95046)","Mycobacterium tuberculosis","3","3","1"
"Trehalose transport system permease protein SugB","Mycobacterium tuberculosis","4","4","1"
"Diglucosylglycerate octanoyltransferase","Mycobacterium tuberculosis","5","5","1"
"Putative transposase Rv2885c","Mycobacterium tuberculosis","11","12","1"
"Probable 3-hydroxybutyryl-CoA dehydrogenase FadB3 (Beta-hydroxybutyryl-CoA dehydrogenase) (BHBD)","Mycobacterium tuberculosis","4","4","1"
"NAD(P) transhydrogenase subunit beta","Mycobacterium tuberculosis","8","8","1"
"Probable acetyl-CoA acetyltransferase FadA6 (Acetoacetyl-CoA thiolase)","Mycobacterium tuberculosis","6","6","1"
"Signal recognition particle protein","Mycobacterium tuberculosis","8","8","1"
"Mce-family protein Mce2C","Mycobacterium tuberculosis","9","11","5"
"Uncharacterized protein Rv2209","Mycobacterium tuberculosis","10","10","1"
"Probable gamma-glutamyltranspeptidase GgtB (Gamma-glutamyltransferase) (Glutamyl transpeptidase)","Mycobacterium tuberculosis","13","13","1"
"39S ribosomal protein L17, mitochondrial (Fragment)","Homo sapiens (human)","2","2","2"
"39S ribosomal protein L17, mitochondrial","Homo sapiens (human)","22","56","27"
"Alpha-(1->6)-mannopyranosyltransferase A","Mycobacterium tuberculosis","8","8","1"
"Sulfate transport system permease protein CysT","Mycobacterium tuberculosis","4","4","1"
"Ribonuclease PH","Mycobacterium tuberculosis","5","5","1"
"Putative acyl-CoA dehydrogenase FadE17","Mycobacterium tuberculosis","7","7","1"
"Lysylphosphatidylglycerol biosynthesis bifunctional protein LysX","Mycobacterium tuberculosis","10","10","1"
"Mycosin-5","Mycobacterium tuberculosis","10","10","1"
"Anthranilate phosphoribosyltransferase","Mycobacterium tuberculosis","6","6","1"
"Uncharacterized HTH-type transcriptional regulator Rv3095","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein Rv2597","Mycobacterium tuberculosis","3","3","1"
"Conserved protein (UniProt:O53417)","Mycobacterium tuberculosis","9","9","1"
"Uncharacterized oxidoreductase Rv1350","Mycobacterium tuberculosis","5","5","1"
